ID,HS_nr,Local_ID,Excavation_field,Bearing_degrees,Sex_estimation,Age_category,Age_years,Stature_cm,Church_distance_m,Easting_UTM32N,Northing_UTM32N
314,359,TW,C/D,48.3,Female,Adultus,,155,14.37876525,580205.6349700554,6570836.1161589697
315,359,TX,B,67.0,Female,Adult unsp.,20,,14.37876525,580197.4873572128,6570825.8064912464
316,360,TW,C/D,57.0,Male,Adultus,30–40 ,,,580208.5018460228,6570833.9787085606
317,361,TW,C/D,95.9,Female,Adultus,30–35 ,146,16.4387704,580208.3260146268,6570833.3165934589
318,361,TX,B,56.6,Female,Adultus,18–30,157,16.4387704,580195.7010374974,6570832.3654408306
319,362,TW,C/D,78.1,Female,Adultus,,163,33.08823649,580205.3849597890,6570835.1930441400
320,363,TW,C/D,66.3,Female,Juvenis/Adultus,18,,12.26685831,580203.8780297764,6570833.9512349060
321,363,TX,B,90.4,Female,Maturus,30–50,156,12.26685831,580192.7822526336,6570829.3853358245
322,364,TW,C/D,49.0,Male,Adultus,20–22 ,,11.48629949,580206.4344534348,6570836.1985799372
323,364,TX,B,80.8,Male,Maturus,30–50,179,11.48629949,580192.0033089210,6570829.0602648258
324,366,TW,C/D,66.5,Female,Senilis,50–55,,31.46466037,580204.4343713034,6570833.8138666293
325,367,TX,B,63.2,Male,Adultus,18–30,,17.88442028,580199.3984824584,6570829.9151095459
326,368,TX,B,62.5,Male,Adultus,20–25,163,16.88550392,580198.5321375816,6570829.4183029244
327,370,TW,C/D,73.6,Female,Adultus,,159,31.18608394,580204.1541400156,6570833.7122141030
328,370,TX,B,58.7,Male,Maturus,30–50,171,31.18608394,580196.0123885726,6570832.8909740737
329,371,TW,C/D,69.7,Male,Adultus,,,11.4630497,580203.3134461526,6570833.3550565764
330,371,TX,B,82.4,Male,Adultus,18–30,167,11.4630497,580192.4311146213,6570828.5879918672
331,371,TX,B,72.3,Male,Adultus,18–30,167,11.4630497,580199.1408790260,6570832.1446059216
332,372,TX,B,70.8,Female,Maturus,30–50,,11.5486628,580192.6948514688,6570828.4223896600
333,372,TW,C/D,65.6,Male,Adult unsp.,,173,11.5486628,580204.1761189402,6570834.0638768952
334,373,TX,B,99.8,Male,Senilis,50,170,12.40807694,580193.7160650759,6570828.5389245469
335,376,TX,B,58.3,Male,Adult unsp.,20,,14.01340882,580193.9629350322,6570830.6748863384
336,376,TX,B,63.4,Male,Adult unsp.,20,,14.01340882,580197.3529885368,6570831.5527313659
337,377,TW,C/D,54.6,Female,Adultus,20–22 ,161,30.22465857,580202.7777098676,6570833.8083718959
338,378,TW,C/D,69.5,Female,Juvenis,16–18,,30.09163297,580202.7941940606,6570833.5940773804
339,379,TW,C/D,39.9,Female,Adultus,,156,30.06795001,580203.0744253484,6570833.2479093196
340,380,TX,B,65.5,Female,Adultus,18–30,,16.97805522,580196.9021825300,6570831.8548020581
341,382,TX,B,67.9,Female,Adultus,18–30,158,19.08820509,580200.1114919588,6570831.0543913944
342,383,TX,B,60.8,Female,Adultus,25,161,18.25811998,580198.9231427916,6570831.3380618393
343,384,TW,C/D,59.4,Female,Adultus,20–25 ,,18.97173774,580200.6649857475,6570835.0680390047
344,384,TX,B,60.7,Female,Adultus,18–30,155,18.97173774,580199.6721861054,6570831.5097974641
345,385,TW,C/D,54.2,Male,Adultus,,169,13.05492783,580200.7254277902,6570835.0117180124
346,385,TX,B,66.8,Male,Maturus,30–50,170,13.05492783,580195.2593669782,6570827.4294731161
347,385,TX,B,80.2,Male,Maturus,30–50,170,13.05492783,580199.7005531500,6570830.7323871031
348,387,TX,B,64.0,Female,Adultus,18–30,164,15.18112374,580194.5624763544,6570831.7237003110
349,388,TX,B,74.9,Female,Maturus,30–50,,18.33119663,580199.7174200414,6570830.2524473732
350,388,TX,B,45.0,Female,Maturus,30–50,,18.33119663,580194.5746993216,6570832.1711030155
351,389,TX,B,54.2,Female,Adultus,18–30,154,14.92527103,580193.8563669460,6570832.0273043578
352,392,TX,B,50.7,Male,Senilis,50,168,15.26200814,580195.4355296541,6570830.9271230306
353,393,TX,B,69.5,Female,Maturus,30–50,153,15.59574154,580195.4922637434,6570831.3625955004
354,396,TX,B,70.2,Male,Maturus,30–50,171,13.95547179,580195.3979846468,6570828.8734071637
355,396,TX,B,73.3,Male,Maturus,30–50,171,13.95547179,580196.4981438130,6570830.8090547910
356,397,TX,B,65.5,Female,Adultus,20–25,153,15.8957998,580195.8388016942,6570831.4269963577
357,399,TX,B,59.1,Female,Adultus,19,159,17.22164957,580199.2098799454,6570828.8969626445
358,404,TX,B,70.7,Female,Adultus,18–30,,18.64916385,580199.5556512192,6570831.1049920674
359,405,TX,B,72.8,Male,Adultus,20–30,167,19.58551644,580200.0930917138,6570831.9805370690
360,407,TX,B,73.4,Female,Adultus,20–25,149,19.12388158,580199.2359469594,6570832.3761423398
361,409,TX,B,62.0,Male,Adultus,18–30,170,17.54069607,580199.0726447834,6570829.7909078887
362,410,TX,B,67.4,Male,Adultus,18–30,,18.15724635,580197.1879954900,6570833.2988097677
363,412,TX,B,61.0,Female,Maturus,35–45,161,16.98200209,580198.2967677788,6570829.9841104634
364,413,TX,B,93.6,Male,Adultus,18–30,166,15.91599646,580196.9443497584,6570830.0807117503
365,417,TX,B,71.7,Male,Maturus,40–50,173,19.73896332,580200.7018331581,6570831.3380618412
366,418,TX,C,60.9,Male,Maturus,40–45,,24.44469504,580181.4185767410,6570845.1205705991
367,419,TX,C,46.9,Female,Senilis,50,167,23.55520386,580179.6086347756,6570843.9545437144
368,421,TX,C,54.5,Female,Adultus,18–30,,23.78858324,580180.8252989776,6570844.3883823557
369,422,TX,C,40.9,Female,Adultus,18–30,161,23.61454771,580180.3421915948,6570844.1420386480
370,423,TX,C,46.7,Female,Adultus,25–30,,23.80958242,580182.1069705470,6570844.5471371897
371,425,TX,C,51.4,Female,Maturus,30–50,167,22.59703196,580178.1319411038,6570842.6338677248
372,426,TX,C,57.1,Female,Adultus,30–50,,22.17139305,580178.4562936528,6570842.2794065010
373,429,TX,C,75.1,Male,Maturus,30–50,,22.39678522,580179.8125526226,6570842.8145197779
374,430,TX,C,79.7,Female,Maturus,30–50,,22.74505424,580180.9587351526,6570843.3537387829
375,431,TX,C,66.7,Female,Maturus,30–50,,21.65691822,580180.9436808150,6570842.2534035537
376,432,TX,C,68.4,Female,Senilis,50,,21.79480891,580180.3175572240,6570842.2944608377
377,433,TX,C,60.0,Male,Adultus,18–30,,20.33889983,580180.9005706662,6570840.9149360731
378,436,TX,C,53.2,Female,Maturus,30–50,,20.53197837,580178.4282378416,6570840.5741606113
379,437,TX,C,57.9,Female,Maturus,30–50,164,19.84795426,580178.5363553578,6570839.8939782623
380,438,TX,C,61.4,Male,Maturus,30–50,,20.0724918,580179.6065819112,6570840.3989828639
